asset_id,filename,category,priority,generation_status,qa_status,scope,trigger,source_preview_url
voice.discussion.start,narration/narration_discussion_start_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,DISCUSSION_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/34448a12-2021-4458-a7de-5f76e836668a.mp3
voice.vote.start,narration/narration_vote_start_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,VOTING_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/1c96cd79-6ed3-4f63-8703-9f57079d6200.mp3
voice.last_words.start,narration/narration_last_words_start_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,LAST_WORDS_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/2689dcfe-6aa3-4b32-8a2f-7fbfdd530495.mp3
voice.result.village_win,narration/narration_result_village_win_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,GAME_RESULT_VILLAGE,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/45f0db56-d616-4dcf-bff7-e4d727608522.mp3
voice.result.wolf_win,narration/narration_result_wolf_win_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,GAME_RESULT_WOLF,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/0c8c39eb-ceb7-4ed3-9291-0202993db235.mp3
music.lobby.loop,music/music_lobby_loop_01.ogg,music,P1,not_generated,pending,,,
music.night.loop,music/music_night_loop_01.ogg,music,P0,not_generated,pending,,,
music.day.loop,music/music_day_loop_01.ogg,music,P0,not_generated,pending,,,
music.vote.loop,music/music_vote_loop_01.ogg,music,P0,not_generated,pending,,,
music.result.village,music/music_result_village_01.ogg,music,P0,not_generated,pending,,,
music.result.wolf,music/music_result_wolf_01.ogg,music,P0,not_generated,pending,,,
ambience.lobby.fireplace,ambience/ambience_lobby_fireplace_01.ogg,ambience,P1,not_generated,pending,,,
ambience.night.forest,ambience/ambience_night_forest_01.ogg,ambience,P0,not_generated,pending,,,
ambience.day.village,ambience/ambience_day_village_01.ogg,ambience,P0,not_generated,pending,,,
ambience.day.birds,ambience/ambience_day_birds_01.ogg,ambience,P1,not_generated,pending,,,
sfx.game.start,sfx/sfx_game_start_01.ogg,sfx,P0,not_generated,pending,,,
sfx.phase.nightfall,sfx/sfx_phase_nightfall_01.ogg,sfx,P0,not_generated,pending,,,
sfx.phase.dawn,sfx/sfx_phase_dawn_01.ogg,sfx,P0,not_generated,pending,,,
sfx.wolf.howl_distant,sfx/sfx_wolf_howl_distant_01.ogg,sfx,P2,not_generated,pending,,,
sfx.result.death_reveal,sfx/sfx_result_death_reveal_01.ogg,sfx,P0,not_generated,pending,,,
sfx.vote.reveal,sfx/sfx_vote_reveal_01.ogg,sfx,P0,not_generated,pending,,,
sfx.vote.tie,sfx/sfx_vote_tie_01.ogg,sfx,P1,not_generated,pending,,,
sfx.vote.exile,sfx/sfx_vote_exile_01.ogg,sfx,P0,not_generated,pending,,,
sfx.wolf.presence,sfx/sfx_wolf_presence_01.ogg,sfx,P2,not_generated,pending,,,
sfx.wolf.confirm,sfx/sfx_wolf_confirm_01.ogg,sfx,P1,not_generated,pending,,,
sfx.guard.protect,sfx/sfx_guard_protect_01.ogg,sfx,P1,not_generated,pending,,,
sfx.seer.result_good,sfx/sfx_seer_result_good_01.ogg,sfx,P1,not_generated,pending,,,
sfx.seer.result_wolf,sfx/sfx_seer_result_wolf_01.ogg,sfx,P1,not_generated,pending,,,
sfx.witch.heal,sfx/sfx_witch_heal_01.ogg,sfx,P1,not_generated,pending,,,
sfx.witch.poison,sfx/sfx_witch_poison_01.ogg,sfx,P1,not_generated,pending,,,
sfx.hunter.trigger,sfx/sfx_hunter_trigger_01.ogg,sfx,P1,not_generated,pending,,,
sfx.hunter.shot,sfx/sfx_hunter_shot_01.ogg,sfx,P1,not_generated,pending,,,
sfx.knight.draw_sword,sfx/sfx_knight_draw_sword_01.ogg,sfx,P1,not_generated,pending,,,
sfx.knight.success,sfx/sfx_knight_success_01.ogg,sfx,P1,not_generated,pending,,,
sfx.knight.fail,sfx/sfx_knight_fail_01.ogg,sfx,P1,not_generated,pending,,,
sfx.idiot.reveal,sfx/sfx_idiot_reveal_01.ogg,sfx,P1,not_generated,pending,,,
sfx.white_wolf_king.charge,sfx/sfx_white_wolf_king_charge_01.ogg,sfx,P1,not_generated,pending,,,
sfx.white_wolf_king.explode,sfx/sfx_white_wolf_king_explode_01.ogg,sfx,P1,not_generated,pending,,,
sfx.wolf_beauty.charm,sfx/sfx_wolf_beauty_charm_01.ogg,sfx,P2,not_generated,pending,,,
sfx.wolf_beauty.link,sfx/sfx_wolf_beauty_link_01.ogg,sfx,P1,not_generated,pending,,,
ui.lobby.player_join,ui/ui_lobby_player_join_01.ogg,ui,P2,not_generated,pending,,,
ui.lobby.player_leave,ui/ui_lobby_player_leave_01.ogg,ui,P2,not_generated,pending,,,
ui.ready,ui/ui_ready_01.ogg,ui,P2,not_generated,pending,,,
ui.role.select,ui/ui_role_select_01.ogg,ui,P0,not_generated,pending,,,
ui.role.confirm,ui/ui_role_confirm_01.ogg,ui,P0,not_generated,pending,,,
ui.vote.select,ui/ui_vote_select_01.ogg,ui,P0,not_generated,pending,,,
ui.vote.confirm,ui/ui_vote_confirm_01.ogg,ui,P0,not_generated,pending,,,
ui.timer.30sec,ui/ui_timer_30sec_01.ogg,ui,P1,not_generated,pending,,,
ui.timer.10sec,ui/ui_timer_10sec_01.ogg,ui,P0,not_generated,pending,,,
ui.timer.tick,ui/ui_timer_tick_01.ogg,ui,P0,not_generated,pending,,,
ui.timer.end,ui/ui_timer_end_01.ogg,ui,P0,not_generated,pending,,,
